gene_symbol	uniprot	tdl	tdl_priority
TRABD2A	Q86V40	Tbio	3
TRABD2B	A6NFA1	Tbio	3
TRAC	P01848	Tdark	4
TRADD	Q15628	Tbio	3
TRAF1	Q13077	Tbio	3
TRAF2	Q12933	Tbio	3
TRAF3	Q13114	Tbio	3
TRAF3IP1	Q8TDR0	Tbio	3
TRAF3IP2	O43734	Tbio	3
TRAF3IP3	Q9Y228	Tbio	3
TRAF4	Q9BUZ4	Tbio	3
TRAF5	O00463	Tbio	3
TRAF6	Q9Y4K3	Tbio	3
TRAF7	Q6Q0C0	Tbio	3
TRAFD1	O14545	Tdark	4
TRAIP	Q9BWF2	Tbio	3
TRAJ3	A0A075B6Y3	Tdark	4
TRAK1	Q9UPV9	Tbio	3
TRAK2	O60296	Tbio	3
TRAM1	Q15629	Tdark	4
TRAM1L1	Q8N609	Tdark	4
TRAM2	Q15035	Tbio	3
TRANK1	O15050	Tdark	4
TRAP1	Q12931	Tchem	2
TRAPPC1	Q9Y5R8	Tbio	3
TRAPPC10	P48553	Tbio	3
TRAPPC11	Q7Z392	Tbio	3
TRAPPC12	Q8WVT3	Tbio	3
TRAPPC13	A5PLN9	Tdark	4
TRAPPC14	Q8WVR3	Tdark	4
TRAPPC2	P0DI81	Tbio	3
TRAPPC2B	P0DI82	Tdark	4
TRAPPC2L	Q9UL33	Tdark	4
TRAPPC3	O43617	Tbio	3
TRAPPC3L	Q5T215	Tdark	4
TRAPPC4	Q9Y296	Tbio	3
TRAPPC5	Q8IUR0	Tdark	4
TRAPPC6A	O75865	Tbio	3
TRAPPC6B	Q86SZ2	Tdark	4
TRAPPC8	Q9Y2L5	Tdark	4
TRAPPC9	Q96Q05	Tbio	3
TRARG1	Q8IXB3	Tbio	3
TRAT1	Q6PIZ9	Tbio	3
TRAV1-1	A0A0B4J248	Tdark	4
TRAV1-2	A0A0B4J238	Tdark	4
TRAV10	A0A0B4J240	Tdark	4
TRAV12-1	A0A0B4J245	Tdark	4
TRAV12-2	A0A075B6T6	Tdark	4
TRAV12-3	A0A0B4J271	Tdark	4
TRAV13-1	A0A0B4J241	Tdark	4
TRAV13-2	A0A0B4J235	Tdark	4
TRAV14DV4	A0A0A6YYC5	Tdark	4
TRAV16	A0A0A6YYK6	Tdark	4
TRAV17	A0A0B4J275	Tdark	4
TRAV18	A0A075B6X5	Tdark	4
TRAV19	A0A0A6YYK7	Tdark	4
TRAV2	A0A0B4J234	Tdark	4
TRAV20	A0A0B4J274	Tdark	4
TRAV21	A0A0B4J279	Tdark	4
TRAV22	A0A0B4J277	Tdark	4
TRAV23DV6	A0A075B6W5	Tdark	4
TRAV24	A0A0B4J272	Tdark	4
TRAV25	A0A0B4J276	Tdark	4
TRAV26-1	A0A087WT03	Tdark	4
TRAV26-2	A0A0B4J265	Tdark	4
TRAV27	A0A087WT01	Tdark	4
TRAV29DV5	P04437	Tdark	4
TRAV3	A0A0B4J244	Tdark	4
TRAV30	A0A087WSZ9	Tdark	4
TRAV34	A0A0B4J273	Tdark	4
TRAV35	P0DPF4	Tdark	4
TRAV36DV7	A0A075B6V5	Tdark	4
TRAV38-1	A0A0B4J264	Tdark	4
TRAV38-2DV8	A0JD32	Tdark	4
TRAV39	A0A0B4J263	Tdark	4
TRAV4	A0A0B4J268	Tdark	4
TRAV40	A0A0B4J280	Tdark	4
TRAV41	A0A0B4J266	Tdark	4
TRAV5	A0A0B4J249	Tdark	4
TRAV6	A0A075B6T7	Tdark	4
TRAV7	A0A075B6U4	Tdark	4
TRAV8-1	A0A0A6YYK1	Tdark	4
TRAV8-2	A0A0B4J237	Tdark	4
TRAV8-3	A0A0A6YYJ7	Tdark	4
TRAV8-4	P01737	Tdark	4
TRAV8-6	A0A0B4J262	Tdark	4
TRAV9-1	A0A075B6T8	Tdark	4
TRAV9-2	A0A087WT02	Tdark	4
TRBC1	P01850	Tdark	4
TRBC2	A0A5B9	Tdark	4
TRBD1	P0DPI4	Tdark	4
TRBJ1-1	A0A0J9YXA8	Tdark	4
TRBV10-1	A0A0K0K1A3	Tdark	4
